Date,Stock,isPartial,Noise
2020-05-31,GME,False,0
2020-06-07,GME,False,0
2020-06-14,GME,False,0
2020-06-21,GME,False,0
2020-06-28,GME,False,0
2020-07-05,GME,False,0
2020-07-12,GME,False,0
2020-07-19,GME,False,0
2020-07-26,GME,False,0
2020-08-02,GME,False,0
2020-08-09,GME,False,0
2020-08-16,GME,False,0
2020-08-23,GME,False,0
2020-08-30,GME,False,0
2020-09-06,GME,False,0
2020-09-13,GME,False,0
2020-09-20,GME,False,0
2020-09-27,GME,False,0
2020-10-04,GME,False,1
2020-10-11,GME,False,1
2020-10-18,GME,False,0
2020-10-25,GME,False,0
2020-11-01,GME,False,0
2020-11-08,GME,False,0
2020-11-15,GME,False,0
2020-11-22,GME,False,0
2020-11-29,GME,False,1
2020-12-06,GME,False,1
2020-12-13,GME,False,0
2020-12-20,GME,False,1
2020-12-27,GME,False,1
2021-01-03,GME,False,1
2021-01-10,GME,False,2
2021-01-17,GME,False,6
2021-01-24,GME,False,100
2021-01-31,GME,False,74
2021-02-07,GME,False,18
2021-02-14,GME,False,8
2021-02-21,GME,True,35
2019-01-06,AMC,False,31
2019-01-13,AMC,False,31
2019-01-20,AMC,False,32
2019-01-27,AMC,False,26
2019-02-03,AMC,False,26
2019-02-10,AMC,False,32
2019-02-17,AMC,False,30
2019-02-24,AMC,False,25
2019-03-03,AMC,False,31
2019-03-10,AMC,False,32
2019-03-17,AMC,False,31
2019-03-24,AMC,False,33
2019-03-31,AMC,False,40
2019-04-07,AMC,False,29
2019-04-14,AMC,False,30
2019-04-21,AMC,False,53
2019-04-28,AMC,False,47
2019-05-05,AMC,False,32
2019-05-12,AMC,False,31
2019-05-19,AMC,False,30
2019-05-26,AMC,False,41
2019-06-02,AMC,False,37
2019-06-09,AMC,False,34
2019-06-16,AMC,False,40
2019-06-23,AMC,False,41
2019-06-30,AMC,False,46
2019-07-07,AMC,False,35
2019-07-14,AMC,False,41
2019-07-21,AMC,False,41
2019-07-28,AMC,False,33
2019-08-04,AMC,False,31
2019-08-11,AMC,False,30
2019-08-18,AMC,False,27
2019-08-25,AMC,False,24
2019-09-01,AMC,False,29
2019-09-08,AMC,False,27
2019-09-15,AMC,False,25
2019-09-22,AMC,False,24
2019-09-29,AMC,False,26
2019-10-06,AMC,False,30
2019-10-13,AMC,False,30
2019-10-20,AMC,False,26
2019-10-27,AMC,False,25
2019-11-03,AMC,False,26
2019-11-10,AMC,False,26
2019-11-17,AMC,False,28
2019-11-24,AMC,False,38
2019-12-01,AMC,False,24
2019-12-08,AMC,False,22
2019-12-15,AMC,False,30
2019-12-22,AMC,False,54
2019-12-29,AMC,False,46
2020-01-05,AMC,False,29
2020-01-12,AMC,False,29
2020-01-19,AMC,False,32
2020-01-26,AMC,False,23
2020-02-02,AMC,False,21
2020-02-09,AMC,False,28
2020-02-16,AMC,False,27
2020-02-23,AMC,False,23
2020-03-01,AMC,False,20
2020-03-08,AMC,False,18
2020-03-15,AMC,False,10
2020-03-22,AMC,False,4
2020-03-29,AMC,False,4
2020-04-05,AMC,False,5
2020-04-12,AMC,False,5
2020-04-19,AMC,False,4
2020-04-26,AMC,False,5
2020-05-03,AMC,False,4
2020-05-10,AMC,False,5
2020-05-17,AMC,False,4
2020-05-24,AMC,False,4
2020-05-31,AMC,False,5
2020-06-07,AMC,False,5
2020-06-14,AMC,False,5
2020-06-21,AMC,False,4
2020-06-28,AMC,False,4
2020-07-05,AMC,False,3
2020-07-12,AMC,False,4
2020-07-19,AMC,False,4
2020-07-26,AMC,False,4
2020-08-02,AMC,False,3
2020-08-09,AMC,False,8
2020-08-16,AMC,False,10
2020-08-23,AMC,False,8
2020-08-30,AMC,False,8
2020-09-06,AMC,False,8
2020-09-13,AMC,False,7
2020-09-20,AMC,False,6
2020-09-27,AMC,False,7
2020-10-04,AMC,False,9
2020-10-11,AMC,False,10
2020-10-18,AMC,False,11
2020-10-25,AMC,False,8
2020-11-01,AMC,False,6
2020-11-08,AMC,False,8
2020-11-15,AMC,False,6
2020-11-22,AMC,False,7
2020-11-29,AMC,False,7
2020-12-06,AMC,False,6
2020-12-13,AMC,False,7
2020-12-20,AMC,False,9
2020-12-27,AMC,False,8
2021-01-03,AMC,False,6
2021-01-10,AMC,False,7
2021-01-17,AMC,False,8
2021-01-24,AMC,False,100
2021-01-31,AMC,False,67
2021-02-07,AMC,False,21
2021-02-14,AMC,False,14
2021-02-21,AMC,True,28
